Size,shortest_path,random_walk,biased_random_walk,communicability
1000.0,56452.84724235535,15192.701896031698,29277.029037475586,1174.4451522827148
2000.0,59468.45563252767,18078.964710235596,36979.79267438253,4696.339686711629
3000.0,62105.311473210655,25322.555383046467,51637.74998982748,10224.373579025269
4000.0,67585.76655387878,36474.52584902445,72324.49460029602,20136.16720835368
5000.0,71227.34014193217,48913.614908854164,99819.63674227397,32680.888573328655
6000.0,80425.11598269145,69098.34496180217,142033.18270047507,49384.17538007101
7000.0,90302.30816205342,87104.2373975118,175709.20181274414,72199.7021039327
8000.0,94001.49075190227,106725.96987088521,215869.96006965637,94723.82013003032
9000.0,109297.6971467336,134896.02224032083,274614.28848902386,121648.41508865356
10000.0,119058.9514573415,167024.1196155548,340630.3604443868,161281.92512194315
